 v-sweep         i(viout)        v(vout)        
 5.60000000e-01  6.24292001e-01  6.24292000e-01  6.24292001e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323072e-07  8.38833687e-08  5.60000000e-01 
 5.70000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323071e-07  8.37106775e-08  5.70000000e-01 
 5.80000000e-01  6.24292000e-01  6.24291999e-01  6.24292000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323067e-07  8.35383567e-08  5.80000000e-01 
 5.90000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  8.33664009e-08  5.90000000e-01 
 6.00000000e-01  6.24291999e-01  6.24291999e-01  6.24292000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323066e-07  8.31947977e-08  6.00000000e-01 
 6.10000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323063e-07  8.30235427e-08  6.10000000e-01 
 6.20000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  8.28526439e-08  6.20000000e-01 
 6.30000000e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  3.29202939e-09  5.94323073e-07  8.26820958e-08  6.30000000e-01 
 6.40000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  8.25118818e-08  6.40000000e-01 
 6.50000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323063e-07  8.23420079e-08  6.50000000e-01 
 6.60000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323071e-07  8.21724679e-08  6.60000000e-01 
 6.70000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323067e-07  8.20032664e-08  6.70000000e-01 
 6.80000000e-01  6.24291998e-01  6.24291998e-01  6.24291998e-01  6.24291998e-01  6.24291998e-01  6.24291998e-01  3.29202939e-09  5.94323059e-07  8.18343802e-08  6.80000000e-01 
 6.90000000e-01  6.24292001e-01  6.24292000e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  3.29202939e-09  5.94323073e-07  8.16658243e-08  6.90000000e-01 
 7.00000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  8.14975811e-08  7.00000000e-01 
 7.10000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323064e-07  8.13296479e-08  7.10000000e-01 
 7.20000000e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  3.29202939e-09  5.94323077e-07  8.11620442e-08  7.20000000e-01 
